10, 8, 6
11, 15, 9
12, 25, 15
13, 42, 23
14, 67, 36
15, 104, 56
16, 157, 77
17, 229, 115
18, 329, 162
19, 468, 211
20, 641, 285
21, 871, 379
22, 1164, 503
23, 1549, 666
24, 2002, 871
25, 2582, 1176
26, 3362, 1380
27, 4178, 1744
28, 5239, 2203
29, 6520, 2712
30, 8144, 3439
31, 9862, 4081
32, 12000, 4961
33, 14514, 6233
34, 17457, 7168
35, 21022, 8565
